rank,symbol,name,price,percent_change_24h,percent_change_7d,percent_change_30d,market_cap,volume_24h,galaxy_score,galaxy_score_previous,alt_rank,alt_rank_previous,social_volume_24h,social_dominance,market_dominance,sentiment,signal
"177","TRUMP","Official Trump","1.9914370525314362","-9.032220310014","22.102149963147","-10.798413061822","477495760","315676911.07","55.2","72","1548","6","2436","0.682500147090549","0.021795724160096803","79","sell"
"178","WFI","WeFi","2.06","1.2206685471544687","2.873117610959266","","174657208","1397734","55.2","56","470","1653","7","0.0019612073192257153","0.007972385614776251","","hold"
"179","COAI","ChainOpera AI","0.384054","-27.34953510650212","74.44103807865403","","72112124","167585182","55.2","62","1645","3","1171","0.3280819672590447","0.0032916228686568788","53","sell"
"180","ZETA","ZetaChain","0.03791871163941487","-0.113162232336","4.590133258559","-27.996810260623","56099649","3827918.92","55.2","51","1275","547","659","0.18463366048139235","0.0025607190210071196","71","hold"
"181","FLUX","Flux","0.05077171155668541","-2.583727381852","-1.676986849248","-32.047880209016","21135251","2683417.74","55.2","35","2560","450","139","0.03894397391033921","0.0009647375734821397","18","hold"
"182","EPIC","Epic Chain","0.021170300802315464","-0.675389838089","16.233368481818","-23.326322397872","17281411","10139471","55.1","50","1586","72","345","0.09665950359041026","0.0007888255746046052","69","hold"
"183","CWEB","Coinweb","0.001100981025035237","-0.680262179083","-7.127544189414","-15.649648721486","7338964","80013.24","55.1","66","2822","1874","6","0.001681034845050613","0.0003349936237441787","100","hold"
"184","QAIT","QAIT","0.0227322894349648","-6.056","-0.40213914797132005","","100015335.51","14917494.99","55","65","3153","147","77","0.02157328051148287","0.004565290097142422","86","sell"
"185","ONDO","Ondo","0.34427705983352624","-7.324189676747","-0.539073014183","-6.011395314385","1688333261","88573847.72","54.9","58","2509","29","896","0.25103453686089156","0.07706549278484215","49","sell"
"186","ZEN","Horizen","4.298900882420846","-1.564212315376","-4.162544088391","-30.503213773594","79008591","19011481.92","54.9","54","2069","265","168","0.04706897566141717","0.003606418318172934","23","hold"
"187","STX","Stacks","0.1839499724123517","-0.881430590433","-1.467468070277","-26.225496922506","343124306","6760124.61","54.8","61","1562","170","572","0.16025865522815846","0.015662218081686524","48","hold"
"188","GOMINING","Gomining","0.2783690910008461","2.306347991987","6.86580099166","-4.930916172179","112535383.86","10916292.1","54.8","68","41","97","281","0.07872846524320372","0.005136923691435117","86","hold"
"189","GPS","GoPlus Security","0.007495812355730682","3.840749293016","-3.271062474999","-8.955924998456","33026589","5827155.49","54.8","22","105","845","94","0.026336212572459605","0.0015075284098708798","23","hold"
"190","ME","Magic Eden","0.06044600403017271","-3.357471994213","2.027581982025","-43.300015640517","34879421","151086531.58","54.7","57","2178","113","307","0.08601294957175637","0.001592102595800825","46","hold"
"191","POL","Polygon Ecosystem Token","0.07466214175093416","-0.464400007261","-6.259579648473","-17.399752747144","802713683","28104779.61","54.6","52","1427","155","332","0.09301726142613394","0.03664058925717662","38","hold"
"192","TRIBE","Tribe","0.2807162991387179","-0.141339474125","2.500927907733","-21.871355782661","10514714","21.95","54.5","54","4438","1794","5","0.001400862370875511","0.00047995359365349776","100","hold"
"193","DYM","Dymension","0.016680924277645393","-6.809134171798","3.858668362725","-25.240932858794","9188315","8886586.86","54.5","49","2967","171","126","0.035301731746062874","0.0004194089162929528","23","sell"
"194","IP","Story","0.28207663015511586","-3.034205271248","-9.277975556378","-44.441654550912","101433739","31452224.65","54.4","51","2795","270","69","0.01933190071808205","0.004630034402339517","84","hold"
"195","GEOD","GEODNET","0.22230261136054705","2.100500357093","42.854407919487","61.748849244669","99528299","876845.06","54.4","77","54","49","360","0.1008620907030368","0.004543058876852935","75","hold"
"196","MEGA","MegaETH","0.060203","15.32272304590228","35.8998557916486","","68016679","164297364","54.4","75","1","4","923","0.25859919366361933","0.0031046825918828033","79","hold"
"197","ETH","Ethereum","1654.7266561568158","-1.395449459056","1.747144799824","-25.327040871445","201093296311","5929275557.73","54.3","52","993","130","31663","8.871101049806262","9.179084683053873","77","hold"
"198","WOULD","would","0.080712","-4.1305712220273945","-0.5535629693393661","","81105378","31389","54.3","65","4231","800","20","0.005603449483502044","0.0037021280498666285","67","hold"
"199","ROBO","Fabric Protocol","0.0192482826317575","-15.174903086314","-6.612226095899","-0.947262439078","43248147","23619440.36","54.2","58","2848","60","254","0.07116380844047596","0.001974100633788493","45","sell"
"200","BFC","Bifrost","0.012100780296633636","-0.425608780448","-3.278912809352","-24.798940002405","16992183","860912.08","54.2","63","1521","268","255","0.07144398091465107","0.0007756235019676116","65","hold"
"201","MONA","MonaCoin","0.0695313206696639","-1.718646216618","4.572612584526","-24.678236453913","7321829","7771.73","54.2","67","2722","1589","33","0.009245691647778373","0.0003342114812315766","100","hold"
"202","KGEN","KGEN","0.17351328274000574","4.009326388397","-19.913745557489","-25.759195083358","34375929","2655271.53","54.1","19","74","1168","146","0.04090518122956492","0.0015691202498448833","28","hold"
"203","ICP","Internet Computer","2.403935993904291","-2.814931400721","1.216824825038","-8.393429749307","1343166055","129774722.49","54","51","1968","5","1423","0.3986854307511704","0.061310024692125875","69","hold"
"204","VELVET","Velvet","0.383996","-8.918434995513175","71.52548770610754","","161575701","55962278","54","58","2535","915","1337","0.37459059797211164","0.007375268442111983","65","sell"
"205","HBAR","Hedera","0.07733562358416102","-1.052744354066","-4.848565604396","-16.222988592721","3387434328","48555304.12","53.9","39","1577","475","766","0.21461211521812829","0.15462249177569845","72","hold"
"206","IO","Ionet","0.16768270496483056","-10.640732797337","20.667725251814","23.14847785544","59391958","31318196.2","53.9","59","2734","17","330","0.09245691647778372","0.0027109994314840715","82","sell"
