repository,branch,head_sha,protected
ari-OCTOPUS/ofn-node,main,dba9971a802653b4f56a1194da49e49551e04c54,true(ruleset:protect-main)
ari-OCTOPUS/ofn-node,octopus/reconcile-138-20260827,d3fb20c14179ee8572612beda715f8339b0fdcbd,false
ari-OCTOPUS/ofn-node,ofn-v1.0-three-business-owner-center,859edfc8433cfd6f8abec448794f31e12b96df44,false
ari-OCTOPUS/ofn-node,ofn/board-snapshot-20260816,32a81d034acb833b22204d969bf41ce2870b1d05,false
ari-OCTOPUS/ofn-node,ofn/cockpit-v2-20260827,6070f519b94de93b6cc94671d7fbfb7f0c8f2333,false
ari-OCTOPUS/ofn-node,ofn/evolve-20260826-anatomy-180,36e579ef10206cd578b6b5060e7c860b18a48126,false
ari-OCTOPUS/ofn-node,ofn/heartbeat,caf5e70057a2a8c9148366ca33479c3cdb4e7949,false
ari-OCTOPUS/ofn-node,ofn/wire,3ad3c07a7ec417b964ffa5cc4355299caffc717c,false
ari-OCTOPUS/ofn-node,port/110b-send-path-tests-20260917,92ab548a8447c1ab2086d71dee567424150fb0ff,false
ari-OCTOPUS/ofn-node,receipts/durability-snapshot-20260916,503515b611fe3fa7575e4f9add34c47d2b337693,false
ari-OCTOPUS/ofn-node,release/p0,d2f805fc514f90e740bb39f5e0a8631538f6c47f,false
ari-OCTOPUS/ofn-node,repair/ziman-cycle-4-readiness,0fe56ca4dcd4f6474c6f0e77154d162d4a97d339,false
ari-OCTOPUS/ofn-node,rescue/main-board-integ-20260904,a9ee26fa351f3098bcd3ba72ef0c5186121214e3,false
ari-OCTOPUS/ofn-node,rescue/octopus-live-tree-20260821,4dcaa821c945d2ede9c8be951fe01c690a68c5f2,false
ari-OCTOPUS/ofn-node,rescue/wo-align-20260906,c7e664621fa5fde5165d3334aa49a2761e9d0f8a,false
ari-OCTOPUS/ofn-node,revert/pr6-if-owner-ratifies,082322a1891194c99900cfe1672f14b576461727,false
ari-OCTOPUS/ofn-node,rootfix/phase1-rca-20260916,bb286c028e2c495ef86097363309e264b61ce53a,false
ari-OCTOPUS/ofn-node,test/raw-key-t1t2t3,87425b89ab07494ab0200b4be4671b35ba867b1e,false
ari-OCTOPUS/ofn-node,tools/rotate-all-20260902,8377224e29334bc37ab239a3043e21f4c81998d3,false
ari-OCTOPUS/ofn-node,work/board182-test-discovery-init,0e43f041f99b55484cdd4c5a1c2b204597e1dbb4,false
ari-OCTOPUS/ofn-node,work/r1-portability,456562449c2ef2e41d2b80297889179082994780,false
ari-OCTOPUS/ofn-node,work/truth-record-20260830,ebf8b7e89b68f8d2026b5612f48c35f1cb84e88d,false
ari-OCTOPUS/Armin,audit/cursor-20260828,f4ac5a5a3153e211df9fdb0af28eb83a3003d4ca,false
ari-OCTOPUS/Armin,audit/zcode-20260828,229c1e8075fbcaae759b014c52dbaf097e7e45e7,false
ari-OCTOPUS/Armin,main,4193de1fd1160a2f082b3ed2ec457c00f9bbf4f3,true(ruleset:protect-main)
ari-OCTOPUS/langar,audit/cursor-20260828,9e83fd61b72404ea8a07dccb092fcd5b9829aa67,false
ari-OCTOPUS/langar,audit/zcode-20260828,4dea0e3858b41244f3374fbe94fab7c747b2f509,false
ari-OCTOPUS/langar,main,ec039bb7cd79eb96096bf87080e625ef0b3904f5,true(ruleset:protect-main)
ari-OCTOPUS/vbaa-patches,main,16d3bff320a9bb0a4b27c221f559a8e235cec177,true(ruleset:protect-main)
ari-OCTOPUS/vbaa-patches,vbaa/argument-provenance-guard,fe2941befb8e578341cb53dfe1d39c30927f9c95,false
ari-OCTOPUS/vbaa-patches,vbaa/artifact-admission,1bed67964e27d80a5a1e14d8fd882cc3d0e8eef1,false
ari-OCTOPUS/vbaa-patches,vbaa/executor-handle-firewall,2c004abfcd1335312307620f14f0c42515ae3773,false
