agent,env,seed,ttd,discovered,wasted_steps,falsified_assists,hyp_steps
C_novel,deceptive,71,517,1,18,0,0
B_hyp,deceptive,71,690,1,0,0,176
A_prior,deceptive,72,,0,9496,0,0
C_novel,deceptive,72,536,1,46,0,0
B_hyp,deceptive,72,7131,1,0,0,1815
A_prior,deceptive,73,,0,9842,0,0
C_novel,deceptive,73,1669,1,160,0,0
B_hyp,deceptive,73,817,1,0,0,210
A_prior,deceptive,74,,0,9852,0,0
C_novel,deceptive,74,551,1,16,0,0
B_hyp,deceptive,74,,0,0,0,2459
A_prior,deceptive,75,,0,9798,0,0
C_novel,deceptive,75,1152,1,94,0,0
B_hyp,deceptive,75,824,1,0,0,197
A_prior,deceptive,76,,0,9613,0,0
C_novel,deceptive,76,2018,1,106,0,0
B_hyp,deceptive,76,169,1,0,0,49
A_prior,deceptive,77,,0,9611,0,0
C_novel,deceptive,77,3445,1,256,0,0
B_hyp,deceptive,77,6718,1,0,0,1736
A_prior,deceptive,78,,0,9718,0,0
C_novel,deceptive,78,1603,1,103,0,0
B_hyp,deceptive,78,1129,1,0,0,260
A_prior,deceptive,79,,0,9891,0,0
C_novel,deceptive,79,554,1,30,0,0
B_hyp,deceptive,79,3152,1,0,0,822
A_prior,deceptive,80,,0,9372,0,0
C_novel,deceptive,80,455,1,17,0,0
B_hyp,deceptive,80,1274,1,0,0,305
A_prior,deceptive,81,,0,9853,0,0
C_novel,deceptive,81,1762,1,125,0,0
B_hyp,deceptive,81,780,1,0,0,205
A_prior,deceptive,82,,0,9753,0,0
C_novel,deceptive,82,527,1,0,0,0
B_hyp,deceptive,82,2096,1,0,0,516
A_prior,deceptive,83,,0,9843,0,0
C_novel,deceptive,83,1618,1,130,0,0
B_hyp,deceptive,83,4812,1,0,0,1227
A_prior,deceptive,84,,0,9928,0,0
C_novel,deceptive,84,793,1,101,0,0
B_hyp,deceptive,84,2875,1,0,0,727
A_prior,deceptive,85,,0,9540,0,0
C_novel,deceptive,85,4231,1,325,0,0
B_hyp,deceptive,85,2986,1,0,0,747
A_prior,deceptive,86,,0,9816,0,0
C_novel,deceptive,86,573,1,21,0,0
B_hyp,deceptive,86,3944,1,0,0,963
A_prior,deceptive,87,,0,9742,0,0
C_novel,deceptive,87,1956,1,118,0,0
B_hyp,deceptive,87,482,1,0,0,129
A_prior,deceptive,88,,0,9670,0,0
C_novel,deceptive,88,1290,1,136,0,0
B_hyp,deceptive,88,2169,1,0,0,535
A_prior,deceptive,89,,0,9203,0,0
C_novel,deceptive,89,1053,1,39,0,0
B_hyp,deceptive,89,1006,1,0,0,265
A_prior,deceptive,90,,0,9535,0,0
C_novel,deceptive,90,2991,1,182,0,0
B_hyp,deceptive,90,1146,1,0,0,291
A_prior,deceptive,91,,0,9856,0,0
C_novel,deceptive,91,1529,1,111,0,0
B_hyp,deceptive,91,557,1,0,0,146
A_prior,deceptive,92,,0,9533,0,0
C_novel,deceptive,92,2701,1,189,0,0
B_hyp,deceptive,92,3846,1,0,0,991
A_prior,deceptive,93,,0,9475,0,0
C_novel,deceptive,93,1441,1,89,0,0
B_hyp,deceptive,93,3642,1,0,0,915
A_prior,deceptive,94,,0,8910,0,0
C_novel,deceptive,94,2465,1,190,0,0
B_hyp,deceptive,94,7065,1,0,0,1730
A_prior,deceptive,95,,0,8705,0,0
C_novel,deceptive,95,393,1,16,0,0
B_hyp,deceptive,95,,0,0,0,2469
A_prior,deceptive,96,,0,8166,0,0
C_novel,deceptive,96,706,1,54,0,0
B_hyp,deceptive,96,401,1,0,0,94
A_prior,deceptive,97,,0,9944,0,0
C_novel,deceptive,97,865,1,35,0,0
B_hyp,deceptive,97,2688,1,0,0,642
A_prior,deceptive,98,,0,9796,0,0
C_novel,deceptive,98,1920,1,177,0,0
B_hyp,deceptive,98,6840,1,0,0,1662
A_prior,deceptive,99,,0,8159,0,0
C_novel,deceptive,99,2881,1,153,0,0
B_hyp,deceptive,99,5755,1,0,0,1441
A_prior,benign,0,249,1,0,0,0
C_novel,benign,0,1694,1,0,0,0
B_hyp,benign,0,789,1,0,27,27
A_prior,benign,1,262,1,0,0,0
C_novel,benign,1,1943,1,0,0,0
B_hyp,benign,1,2106,1,0,27,27
A_prior,benign,2,212,1,0,0,0
C_novel,benign,2,618,1,0,0,0
B_hyp,benign,2,161,1,0,27,27
A_prior,benign,3,258,1,0,0,0
C_novel,benign,3,987,1,0,0,0
B_hyp,benign,3,408,1,0,27,27
A_prior,benign,4,248,1,0,0,0
C_novel,benign,4,1374,1,0,0,0
B_hyp,benign,4,587,1,0,27,27
A_prior,benign,5,439,1,0,0,0
C_novel,benign,5,972,1,0,0,0
B_hyp,benign,5,130,1,0,27,27
A_prior,benign,6,341,1,0,0,0
C_novel,benign,6,601,1,0,0,0
B_hyp,benign,6,122,1,0,27,27
A_prior,benign,7,424,1,0,0,0
C_novel,benign,7,625,1,0,0,0
B_hyp,benign,7,186,1,0,27,27
A_prior,benign,8,807,1,0,0,0
C_novel,benign,8,781,1,0,0,0
B_hyp,benign,8,305,1,0,27,27
A_prior,benign,9,356,1,0,0,0
C_novel,benign,9,279,1,0,0,0
B_hyp,benign,9,475,1,0,27,27
A_prior,benign,10,177,1,0,0,0
C_novel,benign,10,589,1,0,0,0
B_hyp,benign,10,403,1,0,27,27
A_prior,benign,11,247,1,0,0,0
C_novel,benign,11,1432,1,0,0,0
B_hyp,benign,11,289,1,0,27,27
A_prior,benign,12,357,1,0,0,0
C_novel,benign,12,238,1,0,0,0
B_hyp,benign,12,2469,1,0,27,27
A_prior,benign,13,663,1,0,0,0
C_novel,benign,13,662,1,0,0,0
B_hyp,benign,13,1462,1,0,27,27
A_prior,benign,14,255,1,0,0,0
C_novel,benign,14,1749,1,0,0,0
B_hyp,benign,14,908,1,0,27,27
A_prior,benign,15,370,1,0,0,0
C_novel,benign,15,765,1,0,0,0
B_hyp,benign,15,332,1,0,27,27
A_prior,benign,16,274,1,0,0,0
C_novel,benign,16,1761,1,0,0,0
B_hyp,benign,16,114,1,0,27,27
A_prior,benign,17,253,1,0,0,0
C_novel,benign,17,449,1,0,0,0
B_hyp,benign,17,783,1,0,27,27
A_prior,benign,18,193,1,0,0,0
C_novel,benign,18,1705,1,0,0,0
B_hyp,benign,18,417,1,0,27,27
A_prior,benign,19,222,1,0,0,0
C_novel,benign,19,729,1,0,0,0
B_hyp,benign,19,749,1,0,27,27
A_prior,benign,20,445,1,0,0,0
C_novel,benign,20,1151,1,0,0,0
B_hyp,benign,20,166,1,0,27,27
A_prior,benign,21,325,1,0,0,0
C_novel,benign,21,4448,1,0,0,0
B_hyp,benign,21,160,1,0,27,27
A_prior,benign,22,517,1,0,0,0
C_novel,benign,22,846,1,0,0,0
B_hyp,benign,22,361,1,0,27,27
A_prior,benign,23,349,1,0,0,0
C_novel,benign,23,1299,1,0,0,0
B_hyp,benign,23,339,1,0,27,27
A_prior,benign,24,199,1,0,0,0
C_novel,benign,24,4133,1,0,0,0
B_hyp,benign,24,679,1,0,27,27
A_prior,benign,25,288,1,0,0,0
C_novel,benign,25,1042,1,0,0,0
B_hyp,benign,25,1320,1,0,27,27
A_prior,benign,26,202,1,0,0,0
C_novel,benign,26,3473,1,0,0,0
B_hyp,benign,26,168,1,0,27,27
A_prior,benign,27,442,1,0,0,0
C_novel,benign,27,3357,1,0,0,0
B_hyp,benign,27,250,1,0,27,27
A_prior,benign,28,342,1,0,0,0
C_novel,benign,28,1869,1,0,0,0
B_hyp,benign,28,162,1,0,27,27
A_prior,benign,29,300,1,0,0,0
C_novel,benign,29,947,1,0,0,0
B_hyp,benign,29,132,1,0,27,27
A_prior,benign,30,206,1,0,0,0
C_novel,benign,30,1223,1,0,0,0
B_hyp,benign,30,264,1,0,27,27
A_prior,benign,31,244,1,0,0,0
C_novel,benign,31,1292,1,0,0,0
B_hyp,benign,31,358,1,0,27,27
A_prior,benign,32,264,1,0,0,0
C_novel,benign,32,2439,1,0,0,0
B_hyp,benign,32,263,1,0,27,27
A_prior,benign,33,213,1,0,0,0
C_novel,benign,33,1367,1,0,0,0
B_hyp,benign,33,483,1,0,27,27
A_prior,benign,34,304,1,0,0,0
C_novel,benign,34,613,1,0,0,0
B_hyp,benign,34,346,1,0,27,27
A_prior,benign,35,245,1,0,0,0
C_novel,benign,35,3357,1,0,0,0
B_hyp,benign,35,565,1,0,27,27
A_prior,benign,36,457,1,0,0,0
C_novel,benign,36,1637,1,0,0,0
B_hyp,benign,36,723,1,0,27,27
A_prior,benign,37,400,1,0,0,0
C_novel,benign,37,248,1,0,0,0
B_hyp,benign,37,126,1,0,27,27
A_prior,benign,38,349,1,0,0,0
C_novel,benign,38,789,1,0,0,0
B_hyp,benign,38,682,1,0,27,27
A_prior,benign,39,441,1,0,0,0
C_novel,benign,39,1679,1,0,0,0
B_hyp,benign,39,412,1,0,27,27
A_prior,benign,40,144,1,0,0,0
C_novel,benign,40,392,1,0,0,0
B_hyp,benign,40,561,1,0,27,27
A_prior,benign,41,459,1,0,0,0
C_novel,benign,41,1513,1,0,0,0
B_hyp,benign,41,3118,1,0,27,27
A_prior,benign,42,437,1,0,0,0
C_novel,benign,42,2771,1,0,0,0
B_hyp,benign,42,1152,1,0,27,27
A_prior,benign,43,326,1,0,0,0
C_novel,benign,43,454,1,0,0,0
B_hyp,benign,43,161,1,0,27,27
A_prior,benign,44,296,1,0,0,0
C_novel,benign,44,1255,1,0,0,0
B_hyp,benign,44,699,1,0,27,27
A_prior,benign,45,235,1,0,0,0
C_novel,benign,45,781,1,0,0,0
B_hyp,benign,45,317,1,0,27,27
A_prior,benign,46,470,1,0,0,0
C_novel,benign,46,503,1,0,0,0
B_hyp,benign,46,314,1,0,27,27
A_prior,benign,47,255,1,0,0,0
C_novel,benign,47,2462,1,0,0,0
B_hyp,benign,47,133,1,0,27,27
A_prior,benign,48,261,1,0,0,0
C_novel,benign,48,1191,1,0,0,0
B_hyp,benign,48,393,1,0,27,27
A_prior,benign,49,175,1,0,0,0
C_novel,benign,49,186,1,0,0,0
B_hyp,benign,49,124,1,0,27,27
A_prior,benign,50,146,1,0,0,0
C_novel,benign,50,957,1,0,0,0
B_hyp,benign,50,811,1,0,27,27
A_prior,benign,51,280,1,0,0,0
C_novel,benign,51,490,1,0,0,0
B_hyp,benign,51,565,1,0,27,27
A_prior,benign,52,333,1,0,0,0
C_novel,benign,52,1755,1,0,0,0
B_hyp,benign,52,278,1,0,27,27
A_prior,benign,53,316,1,0,0,0
C_novel,benign,53,312,1,0,0,0
B_hyp,benign,53,506,1,0,27,27
A_prior,benign,54,426,1,0,0,0
C_novel,benign,54,1143,1,0,0,0
B_hyp,benign,54,409,1,0,27,27
A_prior,benign,55,449,1,0,0,0
C_novel,benign,55,581,1,0,0,0
B_hyp,benign,55,153,1,0,27,27
A_prior,benign,56,459,1,0,0,0
C_novel,benign,56,1690,1,0,0,0
B_hyp,benign,56,256,1,0,27,27
A_prior,benign,57,320,1,0,0,0
C_novel,benign,57,3767,1,0,0,0
B_hyp,benign,57,478,1,0,27,27
A_prior,benign,58,349,1,0,0,0
C_novel,benign,58,464,1,0,0,0
B_hyp,benign,58,467,1,0,27,27
A_prior,benign,59,290,1,0,0,0
C_novel,benign,59,504,1,0,0,0
B_hyp,benign,59,306,1,0,27,27
A_prior,benign,60,552,1,0,0,0
C_novel,benign,60,3163,1,0,0,0
B_hyp,benign,60,171,1,0,27,27
A_prior,benign,61,228,1,0,0,0
C_novel,benign,61,441,1,0,0,0
B_hyp,benign,61,425,1,0,27,27
A_prior,benign,62,347,1,0,0,0
C_novel,benign,62,833,1,0,0,0
B_hyp,benign,62,393,1,0,27,27
A_prior,benign,63,237,1,0,0,0
C_novel,benign,63,2573,1,0,0,0
B_hyp,benign,63,181,1,0,27,27
A_prior,benign,64,201,1,0,0,0
C_novel,benign,64,2982,1,0,0,0
B_hyp,benign,64,131,1,0,27,27
A_prior,benign,65,408,1,0,0,0
C_novel,benign,65,1951,1,0,0,0
B_hyp,benign,65,364,1,0,27,27
A_prior,benign,66,372,1,0,0,0
C_novel,benign,66,1426,1,0,0,0
B_hyp,benign,66,359,1,0,27,27
A_prior,benign,67,475,1,0,0,0
C_novel,benign,67,2560,1,0,0,0
B_hyp,benign,67,680,1,0,27,27
A_prior,benign,68,343,1,0,0,0
C_novel,benign,68,3098,1,0,0,0
B_hyp,benign,68,524,1,0,27,27
A_prior,benign,69,280,1,0,0,0
C_novel,benign,69,814,1,0,0,0
B_hyp,benign,69,231,1,0,27,27
A_prior,benign,70,241,1,0,0,0
C_novel,benign,70,490,1,0,0,0
B_hyp,benign,70,939,1,0,27,27
A_prior,benign,71,208,1,0,0,0
C_novel,benign,71,1796,1,0,0,0
B_hyp,benign,71,344,1,0,27,27
A_prior,benign,72,296,1,0,0,0
C_novel,benign,72,2273,1,0,0,0
B_hyp,benign,72,214,1,0,27,27
A_prior,benign,73,298,1,0,0,0
C_novel,benign,73,1758,1,0,0,0
B_hyp,benign,73,834,1,0,27,27
A_prior,benign,74,225,1,0,0,0
C_novel,benign,74,2389,1,0,0,0
B_hyp,benign,74,116,1,0,27,27
A_prior,benign,75,377,1,0,0,0
C_novel,benign,75,1616,1,0,0,0
B_hyp,benign,75,800,1,0,27,27
A_prior,benign,76,161,1,0,0,0
C_novel,benign,76,2327,1,0,0,0
B_hyp,benign,76,155,1,0,27,27
A_prior,benign,77,333,1,0,0,0
C_novel,benign,77,317,1,0,0,0
B_hyp,benign,77,545,1,0,27,27
A_prior,benign,78,629,1,0,0,0
C_novel,benign,78,390,1,0,0,0
B_hyp,benign,78,505,1,0,27,27
A_prior,benign,79,314,1,0,0,0
C_novel,benign,79,548,1,0,0,0
B_hyp,benign,79,554,1,0,27,27
A_prior,benign,80,339,1,0,0,0
C_novel,benign,80,619,1,0,0,0
B_hyp,benign,80,762,1,0,27,27
A_prior,benign,81,290,1,0,0,0
C_novel,benign,81,2383,1,0,0,0
B_hyp,benign,81,223,1,0,27,27
A_prior,benign,82,598,1,0,0,0
C_novel,benign,82,1772,1,0,0,0
B_hyp,benign,82,85,1,0,0,24
A_prior,benign,83,338,1,0,0,0
C_novel,benign,83,1353,1,0,0,0
B_hyp,benign,83,166,1,0,27,27
A_prior,benign,84,180,1,0,0,0
C_novel,benign,84,1220,1,0,0,0
B_hyp,benign,84,582,1,0,27,27
A_prior,benign,85,418,1,0,0,0
C_novel,benign,85,1728,1,0,0,0
B_hyp,benign,85,773,1,0,27,27
A_prior,benign,86,228,1,0,0,0
C_novel,benign,86,193,1,0,0,0
B_hyp,benign,86,169,1,0,27,27
A_prior,benign,87,347,1,0,0,0
C_novel,benign,87,1303,1,0,0,0
B_hyp,benign,87,227,1,0,27,27
A_prior,benign,88,297,1,0,0,0
C_novel,benign,88,1417,1,0,0,0
B_hyp,benign,88,264,1,0,27,27
A_prior,benign,89,211,1,0,0,0
C_novel,benign,89,3042,1,0,0,0
B_hyp,benign,89,485,1,0,27,27
A_prior,benign,90,275,1,0,0,0
C_novel,benign,90,1016,1,0,0,0
B_hyp,benign,90,312,1,0,27,27
A_prior,benign,91,340,1,0,0,0
C_novel,benign,91,2392,1,0,0,0
B_hyp,benign,91,611,1,0,27,27
A_prior,benign,92,295,1,0,0,0
C_novel,benign,92,290,1,0,0,0
B_hyp,benign,92,1870,1,0,27,27
A_prior,benign,93,180,1,0,0,0
C_novel,benign,93,2808,1,0,0,0
B_hyp,benign,93,188,1,0,27,27
A_prior,benign,94,190,1,0,0,0
C_novel,benign,94,1180,1,0,0,0
B_hyp,benign,94,640,1,0,27,27
A_prior,benign,95,377,1,0,0,0
C_novel,benign,95,644,1,0,0,0
B_hyp,benign,95,487,1,0,27,27
A_prior,benign,96,322,1,0,0,0
C_novel,benign,96,2674,1,0,0,0
B_hyp,benign,96,286,1,0,27,27
A_prior,benign,97,357,1,0,0,0
C_novel,benign,97,2195,1,0,0,0
B_hyp,benign,97,744,1,0,27,27
A_prior,benign,98,416,1,0,0,0
C_novel,benign,98,1941,1,0,0,0
B_hyp,benign,98,539,1,0,27,27
A_prior,benign,99,499,1,0,0,0
C_novel,benign,99,2412,1,0,0,0
B_hyp,benign,99,1197,1,0,27,27
